Rank_youth_ami_2020,State,%_youth_ami_2020,#_youth_ami_2020
1,District of Columbia,10.49,"3,000"
2,Louisiana,10.76,"39,000"
3,New Jersey,11.17,"77,000"
4,Georgia,11.44,"99,000"
5,New York,11.46,"161,000"
6,Mississippi,11.56,"28,000"
7,Delaware,11.58,"8,000"
8,Alabama,11.9,"45,000"
9,Kentucky,11.94,"41,000"
10,Hawaii,11.97,"11,000"
11,North Carolina,12.03,"95,000"
12,North Dakota,12.13,"6,000"
13,Texas,12.19,"296,000"
14,Pennsylvania,12.23,"113,000"
15,South Carolina,12.31,"46,000"
16,South Dakota,12.56,8000
17,Tennessee,12.79,"65,000"
18,Vermont,12.83,"5,000"
19,Maryland,12.91,"59,000"
20,Nebraska,13.01,"20,000"
21,Arizona,13.06,"72,000"
22,Florida,13.09,"185,000"
23,Connecticut,13.16,"36,000"
24,Virginia,13.22,"83,000"
25,California,13.23,"401,000"
26,Rhode Island,13.3,"10,000"
27.0,Arkansas,13.36,"32,000"
28.0,Minnesota,13.56,"58,000"
29.0,Massachusetts,13.6,"66,000"
30.0,Wisconsin,13.66,"61,000"
31.0,Indiana,13.77,"74,000"
32.0,Kansas,13.84,"33,000"
33.0,Oklahoma,13.86,"44,000"
34.0,Michigan,13.87,"107,000"
35.0,Colorado,13.89,"59,000"
36.0,New Hampshire,13.91,"13,000"
37.0,Washington,13.98,"75,000"
38.0,Illinois,14.0,"141,000"
39.0,West Virginia,14.05,"18,000"
40.0,Montana,14.07,"11,000"
41.0,Iowa,14.1,"34,000"
16,South Dakota,14.2,8000
43.0,Alaska,14.27,"8,000"
44.0,Ohio,14.35,"129,000"
45.0,Missouri,14.57,"68,000"
46.0,New Mexico,14.88,"25,000"
47.0,Nevada,14.97,"34,000"
48.0,Maine,15.07,"14,000"
49.0,Utah,15.48,"47,000"
50.0,Idaho,16.22,"24,000"
51.0,Oregon,16.34,"48,000"
,National,13.01,"3,243,000"
