Rank_youth_ami_2021,State,%_youth_ami_2021,#_youth_ami_2021
1.0,District of Columbia,10.53,"3,000"
2.0,New York,11.4,"157,000"
3.0,Pennsylvania,11.88,"109,000"
4.0,New Jersey,11.95,"82,000"
5.0,Mississippi,12.15,"29,000"
6.0,Tennessee,12.27,"63,000"
7.0,Georgia,12.52,"108,000"
8.0,South Dakota,12.53,"9,000"
9.0,Louisiana,12.84,"46,000"
10.0,Hawaii,12.93,"12,000"
11.0,Maryland,13.02,"59,000"
12.0,Delaware,13.05,"9,000"
13.0,Alabama,13.13,"49,000"
14.0,Florida,13.17,"189,000"
15.0,Texas,13.2,"325,000"
16.0,Rhode Island,13.4,"10,000"
17.0,South Carolina,13.56,"51,000"
18.0,Kentucky,13.61,"46,000"
19.0,California,13.71,"415,000"
20.0,Ohio,13.73,"123,000"
21.0,North Dakota,13.75,"7,000"
22.0,Massachusetts,13.86,"67,000"
23.0,Colorado,13.99,"60,000"
24.0,Minnesota,14.04,"61,000"
25.0,Nebraska,14.2,"22,000"
26.0,Connecticut,14.24,"39,000"
27.0,Virginia,14.28,"90,000"
28.0,Montana,14.4,"11,000"
29.0,Vermont,14.65,"6,000"
30.0,West Virginia,14.66,"18,000"
31.0,Arkansas,14.74,"35,000"
32.0,Missouri,14.78,"69,000"
33.0,Illinois,14.86,"148,000"
34.0,Wyoming,14.91,"7,000"
35.0,Kansas,14.95,"35,000"
36.0,North Carolina,15.05,"119,000"
37.0,New Hampshire,15.08,"14,000"
38.0,Iowa,15.09,"37,000"
39.0,Nevada,15.11,"35,000"
40.0,Alaska,15.21,"9,000"
41.0,Wisconsin,15.31,"68,000"
42.0,Michigan,15.36,"117,000"
43.0,Maine,15.45,"14,000"
44.0,Washington,15.66,"85,000"
45.0,Indiana,15.71,"84,000"
46.0,Arizona,15.93,"89,000"
47.0,Oklahoma,16.48,"52,000"
48.0,Utah,16.64,"51,000"
49.0,Idaho,16.7,"26,000"
50.0,New Mexico,17.43,"29,000"
51.0,Oregon,17.57,"52,000"
,National,13.84,"3,449,000"
