Rank_youth_no_mh_care2021,State,%_youth_no_mh_care2021,#_youth_no_mh_care2021
1,Maine,38.6,"6,000"
2,District of Columbia,38.8,"1,000"
3,Vermont,40.7,"2,000"
4,Maryland,41.3,"23,000"
5,Utah,45.2,"22,000"
6,Washington,47.0,"38,000"
7,Wisconsin,47.2,"33,000"
8,Delaware,47.9,"4,000"
9,Kentucky,49.3,"19,000"
10,South Dakota,49.7,"3,000"
11,Ohio,52.2,"59,000"
12,Virginia,53.0,"51,000"
13,Indiana,53.0,"48,000"
14,Iowa,53.0,"20,000"
15,North Dakota,53.4,"3,000"
16,Rhode Island,53.4,"5,000"
17,Oregon,53.9,"30,000"
18,Kansas,54.7,"19,000"
19,Louisiana,54.9,"24,000"
20,Minnesota,55.4,"32,000"
21,Nebraska,55.4,"12,000"
22,Montana,55.6,"5,000"
23,Michigan,55.7,"66,000"
24,New Jersey,55.7,"40,000"
25,Hawaii,56.2,"5,000"
26,Wyoming,56.6,"4,000"
27.0,New Hampshire,56.9,"9,000"
28.0,Pennsylvania,57.5,"56,000"
29.0,Alaska,57.8,"5,000"
30.0,Missouri,58.8,"40,000"
31.0,New York,59.1,"85,000"
32.0,Connecticut,59.1,"24,000"
33.0,West Virginia,59.3,"11,000"
34.0,Arizona,59.6,"52,000"
35.0,North Carolina,60.2,"77,000"
36.0,Colorado,60.9,"29,000"
37.0,Oklahoma,61.1,"35,000"
38.0,Idaho,61.2,"15,000"
39.0,Massachusetts,61.2,"41,000"
40.0,Tennessee,61.5,"35,000"
41.0,Illinois,62.1,"90,000"
42.0,New Mexico,62.9,"20,000"
43.0,Arkansas,63.9,"23,000"
44.0,Florida,64.7,"116,000"
45.0,California,66.0,"259,000"
46.0,Mississippi,66.3,"18,000"
47.0,Texas,67.1,"209,000"
48.0,South Carolina,68.0,"36,000"
49.0,Alabama,69.7,"31,000"
50.0,Georgia,70.4,"73,000"
51.0,Nevada,71.0,"23,000"
,National,59.6,"1,988,000"
